ID Transaksi,Tanggal,Bulan,Tahun,Usia Pembeli,Gender,Berat Barang (gr),Berapa Kali Transaksi,Waktu Pengiriman (Hari),Ongkos Kirim
9619,17,6,2022,32,P,534,10,11,10000
8123,8,10,2023,51,L,114,3,4,10000
7870,2,6,2023,35,L,402,15,5,20000
243,30,6,2023,40,L,509,3,3,50000
59,18,2,2023,50,P,785,4,3,20000
1171,6,10,2023,27,P,675,7,12,10000
7515,29,11,2022,61,L,648,19,3,40000
2891,23,3,2024,54,P,811,8,11,10000
6143,12,6,2022,72,P,852,16,4,40000
694,30,5,2022,26,P,848,16,13,10000
6140,30,4,2024,63,P,430,3,3,40000
4164,6,2,2022,29,P,419,14,9,30000
108,12,1,2022,27,P,314,17,9,30000
6381,30,2,2023,40,P,524,2,6,40000
8126,31,7,2023,46,L,571,13,3,10000
3411,26,6,2022,42,P,835,20,11,20000
6424,22,8,2023,74,L,75,16,14,20000
2912,2,9,2023,58,P,67,5,7,50000
3886,6,3,2022,58,P,992,9,1,10000
8687,25,9,2023,53,P,669,20,8,30000
7826,21,10,2022,58,L,453,11,14,30000
7578,2,8,2023,73,L,981,17,3,50000
7624,8,9,2022,48,P,358,1,5,30000
7641,4,6,2023,60,L,434,13,3,20000
2445,8,10,2022,40,L,977,4,7,30000
9449,6,8,2022,59,L,122,19,14,40000
2559,9,7,2023,62,P,237,5,4,40000
63,2,3,2023,35,L,556,6,6,50000
8779,12,5,2022,69,L,733,7,1,20000
5676,5,8,2024,73,L,953,10,3,10000
1160,26,9,2023,27,L,669,15,9,30000
3191,17,11,2023,59,L,276,11,8,40000
6463,27,6,2024,43,L,980,12,1,20000
4789,17,1,2023,50,L,240,4,14,40000
5347,28,8,2022,42,P,497,16,12,40000
6417,7,12,2024,35,P,552,2,11,10000
7398,6,4,2022,41,P,65,17,1,40000
8739,3,5,2024,29,L,751,6,3,30000
1153,11,2,2024,36,P,957,2,6,20000
8073,1,2,2023,54,L,197,8,2,10000
7937,6,9,2022,60,L,978,14,5,50000
3130,5,12,2024,35,L,556,4,7,40000
3842,22,7,2022,76,L,764,6,10,20000
6588,4,1,2024,39,P,584,1,6,40000
1716,3,2,2022,37,L,307,17,13,10000
3112,31,3,2024,78,P,984,2,13,40000
9314,7,1,2023,56,P,454,14,7,30000
3474,19,8,2022,41,L,818,8,11,20000
6366,27,12,2022,40,P,347,9,2,20000
6895,20,11,2022,80,P,467,2,9,40000
7739,14,6,2022,70,P,761,16,14,30000
6237,31,4,2023,40,L,183,9,12,10000
89,6,10,2023,49,L,531,10,7,50000
283,2,2,2022,79,P,609,8,5,30000
9063,19,8,2023,51,P,519,6,1,30000
9304,25,10,2024,55,P,393,15,13,20000
5645,21,10,2022,52,P,639,13,12,50000
3502,24,8,2024,51,L,825,9,13,30000
5524,20,11,2023,56,P,264,18,11,50000
9402,13,3,2022,78,P,743,7,11,50000
2701,14,8,2022,72,L,764,16,14,50000
8427,7,10,2023,58,L,648,13,5,30000
8967,4,6,2024,70,L,93,19,9,40000
5480,15,10,2024,37,L,125,4,11,20000
9675,15,6,2022,75,L,242,11,5,40000
1199,3,12,2024,36,L,334,15,10,30000
4990,8,9,2024,55,L,249,13,12,50000
5876,31,5,2024,21,P,980,8,12,40000
6927,2,1,2022,21,L,828,6,6,40000
3917,15,9,2022,21,P,350,6,7,10000
976,7,11,2022,60,L,942,2,9,20000
832,11,11,2024,80,L,689,18,13,50000
9249,1,9,2024,21,P,770,13,4,30000
8662,5,7,2024,34,P,586,2,14,20000
3606,18,12,2023,67,L,804,11,2,20000
8533,5,2,2023,31,P,356,11,14,50000
970,21,3,2023,67,L,8,2,13,30000
8597,30,2,2024,21,P,851,11,11,30000
815,11,3,2024,48,P,192,10,3,40000
3530,28,2,2024,59,L,924,6,5,50000
574,4,5,2022,74,P,720,3,1,20000
6737,31,6,2023,62,P,900,5,14,30000
3860,21,12,2023,75,L,11,7,9,50000
5962,26,12,2022,67,L,417,10,14,20000
1120,27,1,2023,38,P,364,13,14,20000
1642,11,6,2022,33,P,629,11,14,30000
7397,12,10,2023,33,P,56,13,6,50000
2720,17,3,2022,74,P,21,2,6,40000
2767,31,6,2023,69,P,627,2,2,30000
2525,22,12,2024,29,P,226,6,9,40000
9805,22,1,2024,56,L,751,7,9,40000
1584,17,7,2024,68,L,569,3,10,10000
595,31,3,2023,38,P,845,2,11,10000
5691,29,3,2024,62,P,569,4,11,40000
699,16,4,2024,26,P,248,5,14,20000
8319,28,11,2023,62,L,915,11,12,10000
9709,9,4,2022,72,L,439,6,8,50000
7823,2,3,2024,37,P,250,20,7,50000
5852,23,5,2023,43,P,379,12,11,50000
8848,14,7,2023,49,P,246,13,13,10000
2956,21,5,2023,72,L,625,6,6,50000
5764,15,3,2022,61,L,225,18,4,10000
943,22,7,2023,74,P,172,14,12,30000
9315,4,12,2022,30,L,901,2,6,20000
5396,3,10,2024,74,P,454,18,7,40000
8740,20,7,2024,55,L,874,18,1,30000
6488,12,1,2022,43,P,548,18,8,20000
7041,16,1,2023,45,P,63,4,5,20000
6119,23,2,2023,77,L,182,13,1,10000
2987,20,6,2023,37,P,356,16,10,40000
1286,19,12,2022,78,P,745,11,1,20000
2872,19,3,2023,24,L,876,11,7,50000
9920,21,10,2024,44,P,469,19,7,40000
1651,20,10,2024,28,P,632,16,10,50000
4211,18,6,2023,44,P,431,17,3,50000
9843,27,10,2024,27,P,986,18,8,30000
2193,15,5,2024,77,L,151,2,10,30000
44,8,12,2022,62,P,213,8,14,10000
5456,4,11,2023,24,P,164,6,14,10000
5681,30,1,2023,80,L,565,9,2,40000
2912,26,6,2024,41,P,26,6,1,50000
8424,29,9,2023,22,P,439,19,14,10000
2052,21,10,2024,38,P,46,11,8,40000
6816,17,12,2022,65,L,974,4,6,40000
1461,10,3,2022,74,L,184,4,5,30000
6109,7,12,2023,28,P,427,8,10,20000
5994,23,11,2024,61,P,971,2,1,40000
6020,2,8,2024,54,L,507,13,11,40000
5663,4,10,2024,75,P,740,12,5,30000
7142,28,6,2024,29,P,844,7,12,50000
9585,25,12,2022,67,L,466,10,12,20000
6572,22,8,2024,73,L,376,5,4,10000
9096,29,4,2024,53,L,310,6,12,40000
6713,2,8,2023,21,L,743,13,1,10000
8766,13,9,2022,72,P,983,1,11,50000
2786,18,9,2023,46,L,534,7,6,30000
7420,21,1,2023,51,P,219,1,10,50000
2787,1,12,2022,60,L,961,3,9,40000
1805,13,2,2023,76,P,448,19,5,40000
2534,12,6,2022,28,P,791,17,5,20000
1556,1,10,2023,57,L,127,17,11,40000
2905,2,8,2024,57,L,105,14,8,40000
7190,13,1,2024,80,L,979,20,10,40000
8987,5,4,2022,34,L,76,8,4,20000
4563,30,1,2022,63,L,21,10,8,30000
3502,28,11,2022,23,P,643,20,8,30000
220,14,4,2024,30,P,140,8,14,30000
7070,1,8,2022,78,P,324,9,12,30000
8140,7,1,2024,61,P,166,13,11,50000
3052,6,3,2024,35,P,471,2,8,40000
6247,1,3,2023,71,L,343,6,6,20000
4092,11,8,2023,26,L,221,8,5,30000
9207,10,12,2022,24,P,707,11,1,30000
1053,8,7,2023,77,L,727,20,12,40000
9336,22,11,2024,69,L,206,3,7,10000
1521,5,11,2023,29,L,246,2,10,40000
8169,24,3,2023,63,P,988,7,12,20000
6246,5,8,2024,50,P,327,1,6,10000
7331,1,11,2022,21,L,20,3,12,20000
6663,28,8,2023,53,L,486,8,8,50000
7157,26,4,2022,29,L,945,18,10,10000
6852,30,8,2023,75,P,515,18,11,40000
825,17,11,2024,68,P,31,17,7,30000
2160,17,1,2023,26,P,299,10,8,50000
6872,16,5,2022,80,P,496,8,10,40000
9414,29,2,2022,57,L,228,8,1,30000
194,12,11,2024,61,L,806,18,5,20000
2663,10,8,2024,24,L,245,17,7,40000
5133,27,3,2022,58,P,69,7,7,50000
9276,19,6,2024,38,L,843,16,3,10000
9183,10,4,2024,35,L,970,19,3,30000
8059,17,2,2023,73,P,947,8,3,50000
7452,3,8,2022,49,L,92,20,9,30000
3644,21,12,2024,53,P,161,17,6,20000
1626,26,12,2022,69,L,925,19,3,30000
8342,23,2,2022,74,L,712,10,1,30000
4538,8,5,2024,71,P,19,4,3,50000
3500,2,9,2024,78,L,560,7,9,30000
8148,19,12,2022,28,L,416,14,7,30000
1853,16,12,2024,61,L,144,8,7,30000
3237,23,12,2023,62,L,660,9,2,50000
7489,3,12,2024,43,L,926,17,5,40000
8831,9,4,2024,36,P,442,14,3,30000
3218,24,11,2024,35,P,283,20,14,30000
7818,28,9,2024,74,L,335,6,11,20000
6823,14,6,2023,58,L,823,11,11,30000
9534,7,9,2024,64,L,813,8,8,20000
376,25,9,2024,57,L,245,19,14,40000
8638,24,4,2023,72,L,384,4,9,30000
3093,7,4,2023,64,L,296,16,10,10000
914,23,10,2022,37,P,205,13,14,50000
7910,28,1,2022,32,P,103,8,11,20000
8365,5,5,2024,39,P,89,15,9,50000
9871,6,3,2023,38,L,643,20,6,50000
4553,15,12,2024,41,P,693,3,14,30000
2265,29,8,2024,62,L,433,14,8,40000
5618,6,5,2023,61,P,536,1,10,50000
5768,18,12,2022,69,L,614,14,11,30000
6200,14,11,2022,21,P,327,19,13,30000
3660,31,4,2023,77,L,92,5,12,10000
4536,30,4,2024,72,L,342,4,8,20000
7690,18,5,2023,25,P,11,14,5,50000
2939,13,12,2023,49,P,674,1,10,50000
4289,12,1,2022,59,P,376,13,3,50000
6772,23,10,2023,74,P,961,18,11,20000
2275,22,12,2023,23,L,558,15,1,50000
4477,26,7,2023,71,P,56,16,11,20000
3682,15,12,2022,21,P,453,7,14,50000
3025,10,7,2023,62,L,881,17,6,40000
9674,1,4,2022,49,P,581,6,1,50000
5364,10,10,2022,25,P,981,8,14,40000
712,3,2,2023,28,L,41,5,10,10000
3704,13,7,2022,34,L,239,14,8,20000
4621,30,1,2022,32,L,534,8,12,10000
7846,5,10,2022,50,P,439,10,14,50000
1718,16,3,2023,25,P,457,17,6,40000
5420,13,3,2022,44,L,263,18,1,40000
6301,18,5,2024,32,P,494,19,10,10000
5123,26,11,2022,48,L,716,20,1,40000
6856,4,11,2022,39,L,130,7,3,50000
3130,11,2,2024,24,P,199,1,6,10000
8891,26,11,2022,47,L,310,18,4,40000
6203,12,10,2024,66,L,264,17,5,20000
1778,7,6,2023,36,P,493,19,7,10000
1094,21,8,2022,49,P,673,5,9,10000
2334,24,10,2024,65,L,577,15,10,50000
7949,27,2,2022,69,P,726,12,9,10000
3588,23,6,2022,34,P,118,5,1,30000
6202,13,12,2024,55,P,127,7,6,10000
5667,16,10,2023,24,L,271,12,12,40000
9997,3,12,2022,78,L,208,12,12,30000
2496,6,11,2024,36,L,849,4,9,20000
5262,30,4,2022,60,L,981,9,4,50000
2921,15,10,2022,42,P,351,9,8,40000
6684,24,1,2024,50,L,52,4,5,10000
9852,30,1,2024,32,L,894,4,4,10000
7395,24,2,2022,38,P,114,9,6,40000
3555,24,10,2023,28,P,495,19,11,40000
6523,16,2,2024,54,P,473,15,3,40000
9079,29,6,2022,71,L,705,8,4,40000
8824,22,10,2022,61,L,498,4,8,10000
692,31,9,2024,22,P,678,4,2,30000
3304,16,6,2022,74,L,688,10,9,50000
6155,23,10,2024,24,L,13,4,11,50000
8481,25,7,2024,24,P,64,7,9,30000
4078,18,12,2023,36,P,335,2,10,40000
8311,25,3,2023,54,L,344,2,7,40000
9821,23,11,2024,30,L,914,3,2,20000
1809,31,9,2022,23,P,195,2,1,40000
6644,4,3,2022,75,P,576,17,4,40000
5314,28,3,2022,42,P,392,1,7,20000
7514,8,1,2022,38,P,468,2,9,40000
4780,21,7,2024,72,P,916,7,8,40000
8647,6,7,2022,37,P,668,3,3,20000
1051,29,8,2022,46,P,124,11,7,40000
4719,12,5,2022,60,P,29,7,8,50000
6494,9,12,2024,74,L,316,7,9,20000
7734,23,12,2023,80,L,106,17,12,10000
1117,7,7,2022,80,L,277,9,12,40000
7266,8,10,2023,47,L,895,14,14,20000
859,7,10,2023,40,P,759,8,12,30000
9945,5,9,2024,49,P,291,8,11,20000
4508,28,9,2022,62,P,71,10,7,30000
7101,18,3,2023,28,L,593,18,2,40000
3765,17,2,2022,69,P,7,9,10,40000
9594,16,1,2022,74,L,866,1,2,40000
8581,5,2,2024,77,L,772,5,9,20000
5047,31,6,2024,47,L,487,7,10,20000
362,7,3,2024,25,L,372,4,13,10000
9999,9,4,2022,62,L,401,12,9,30000
7874,19,2,2022,75,L,178,18,5,10000
5519,7,12,2022,67,P,226,11,5,40000
3215,21,10,2024,40,P,277,18,8,10000
1426,24,3,2024,22,L,170,3,6,40000
5667,13,12,2022,27,P,256,7,1,40000
1483,26,11,2023,62,P,531,12,2,40000
2695,5,2,2024,56,P,355,13,10,10000
6990,10,12,2024,80,P,853,1,13,10000
3064,25,6,2024,59,L,326,9,7,30000
6926,25,1,2023,51,L,276,12,4,40000
6452,1,10,2022,39,L,812,14,11,50000
7750,28,7,2023,34,P,570,15,4,30000
3874,24,11,2022,37,P,413,13,13,20000
655,26,9,2023,26,P,46,11,10,10000
4323,13,8,2023,78,P,108,1,9,20000
4615,21,11,2022,29,L,41,9,8,50000
653,15,7,2024,69,P,176,18,1,40000
1076,29,1,2023,73,L,50,11,13,10000
8666,30,2,2023,48,L,620,19,4,40000
4115,2,2,2023,27,L,613,10,3,50000
1941,31,12,2023,43,L,149,17,8,10000
6641,13,8,2024,63,L,720,9,4,40000
8750,5,6,2024,21,P,969,10,4,10000
5640,28,12,2024,72,L,339,20,9,20000
3468,22,1,2023,37,L,288,15,10,50000
9791,30,4,2022,33,P,664,9,4,10000
320,9,5,2023,52,P,239,3,13,20000
4428,14,11,2022,76,L,175,7,10,20000
6973,12,4,2024,50,P,485,15,13,30000
9774,22,11,2023,33,P,308,3,10,10000
3008,22,6,2023,67,L,282,8,6,20000
7112,24,2,2024,28,L,110,19,9,20000
7221,10,9,2024,75,P,880,3,12,50000
145,7,4,2024,76,L,31,20,3,50000
4829,5,9,2022,40,L,592,4,12,50000
9543,27,8,2024,42,P,330,9,3,30000
233,5,3,2024,68,P,358,5,4,50000
2860,26,12,2024,58,L,456,6,5,50000
7932,8,10,2023,30,L,608,18,1,20000
7977,31,1,2024,31,P,344,7,13,40000
939,28,6,2024,46,P,324,4,5,20000
2977,13,8,2023,79,P,39,7,6,30000
3224,12,11,2023,49,P,20,2,14,10000
5686,8,3,2023,42,P,553,4,3,20000
5839,21,1,2024,49,P,175,19,9,30000
5191,25,10,2024,67,P,525,20,5,50000
5247,8,7,2023,26,L,116,9,11,40000
9506,6,11,2024,57,P,446,8,9,30000
5311,26,10,2024,53,L,192,11,12,10000
2201,2,3,2022,32,L,107,1,3,20000
5840,2,10,2024,22,L,668,18,2,10000
4007,24,11,2023,69,P,802,1,14,40000
5916,1,8,2022,66,L,450,3,2,20000
6781,8,3,2022,72,P,172,6,12,50000
3544,16,6,2023,65,L,805,7,7,50000
4860,9,3,2024,42,L,545,4,4,50000
8431,22,5,2023,46,L,852,15,1,40000
7428,27,12,2024,46,P,274,2,8,30000
3870,25,10,2022,36,P,355,16,4,50000
1073,3,7,2024,66,L,655,10,11,30000
5166,14,12,2024,79,L,941,20,11,50000
5715,13,5,2023,43,L,219,20,6,30000
7481,6,1,2024,25,P,171,15,7,30000
7208,12,5,2024,47,L,473,19,8,20000
7904,30,10,2024,78,L,19,13,3,50000
3925,11,8,2024,52,L,316,2,4,20000
745,25,12,2022,34,L,93,7,1,20000
7566,24,12,2022,33,L,592,16,13,50000
3960,16,7,2023,61,P,982,1,9,40000
1421,28,10,2022,43,P,310,8,10,30000
2127,30,2,2024,59,P,780,17,5,50000
1800,31,5,2024,34,P,865,15,14,50000
1350,20,7,2024,56,P,77,10,9,10000
7605,16,3,2024,21,L,648,5,9,30000
2318,18,6,2024,49,L,396,9,14,40000
6509,17,3,2022,34,L,651,12,7,40000
7856,23,6,2023,36,L,58,12,2,20000
225,14,1,2022,33,P,11,13,13,50000
5375,9,11,2023,27,L,338,2,7,50000
356,1,10,2024,62,L,917,17,1,10000
4754,21,8,2024,55,L,807,16,1,50000
2608,3,7,2022,62,L,207,7,2,40000
2597,6,4,2023,39,L,44,5,8,50000
5330,29,1,2024,34,L,129,19,7,20000
7465,13,4,2023,73,P,389,7,10,40000
7024,5,11,2023,40,L,180,18,7,50000
1863,20,12,2023,65,L,220,6,5,50000
7563,1,7,2022,27,L,487,9,10,10000
734,24,11,2023,61,L,660,17,14,10000
9423,24,12,2024,41,P,974,14,7,30000
2654,26,8,2024,38,P,704,4,11,10000
5261,29,11,2024,55,L,904,9,1,30000
1549,11,6,2022,80,L,298,5,8,10000
5543,5,9,2023,44,L,615,8,14,30000
9067,2,6,2023,69,P,497,3,10,10000
9257,9,12,2024,32,P,472,4,6,40000
1100,4,12,2022,51,P,959,1,12,30000
3321,8,9,2023,71,L,703,4,12,20000
6382,17,8,2022,39,L,915,11,11,50000
2575,28,12,2022,30,L,398,10,13,40000
6978,3,3,2023,45,P,268,16,13,30000
8029,16,2,2023,65,P,954,19,5,40000
7664,23,4,2024,65,P,597,1,9,20000
7445,22,9,2024,52,P,648,5,13,50000
8417,3,5,2022,22,P,356,15,6,50000
2725,13,9,2023,50,P,853,9,6,10000
5004,27,4,2024,35,P,990,19,4,10000
4823,15,10,2024,28,L,317,15,7,30000
6812,13,11,2023,60,P,678,17,3,20000
3134,2,7,2023,35,P,757,2,8,30000
3658,23,1,2024,50,P,729,18,7,10000
1756,23,8,2023,57,L,414,20,9,20000
8849,12,7,2024,36,L,581,2,2,10000
2544,17,3,2024,49,P,456,13,2,40000
1940,22,9,2022,27,P,940,14,14,20000
6633,13,12,2022,48,L,150,10,12,40000
4906,24,1,2024,53,P,100,1,6,50000
846,27,3,2024,28,P,657,11,9,40000
1684,9,2,2023,29,P,991,11,4,10000
9729,22,11,2022,63,L,508,16,6,10000
237,11,1,2022,34,L,177,13,3,20000
5098,17,1,2022,74,L,343,14,4,30000
8407,20,1,2024,46,P,552,15,10,30000
7111,16,8,2024,64,P,671,20,14,10000
8842,4,8,2024,57,L,969,8,1,10000
3928,10,10,2024,22,P,800,3,8,10000
557,11,5,2022,65,P,556,2,11,20000
3456,7,12,2024,31,L,778,19,11,20000
7306,18,3,2023,51,P,216,14,1,10000
4721,17,10,2022,74,L,202,10,9,40000
5206,19,8,2024,36,L,585,5,7,50000
4646,27,12,2022,49,L,891,11,10,40000
3872,3,10,2024,38,L,623,14,6,20000
3056,19,11,2023,61,P,982,8,13,30000
2139,23,2,2023,57,P,659,3,4,20000
2542,8,6,2024,40,P,624,18,5,10000
8490,2,12,2023,41,P,621,16,13,40000
3905,12,2,2023,56,L,392,12,10,50000
2487,29,4,2024,70,L,856,10,1,40000
1726,15,6,2024,72,P,551,3,13,20000
5649,2,1,2024,69,L,50,17,6,50000
340,27,1,2022,21,L,331,17,3,40000
3659,22,5,2022,55,L,978,15,9,20000
3676,23,11,2022,76,P,466,19,14,30000
7403,18,4,2022,29,P,492,13,1,40000
4061,9,10,2024,39,P,933,5,14,10000
8773,2,9,2022,79,P,42,7,13,40000
4357,23,5,2024,45,L,539,13,7,40000
3110,20,6,2024,35,P,961,12,4,50000
8411,15,10,2023,43,P,30,2,10,10000
8712,11,8,2022,42,L,267,2,14,10000
9435,8,8,2022,68,P,868,9,12,20000
8996,11,6,2024,71,P,146,18,4,50000
7991,9,2,2024,23,P,895,3,5,20000
4205,7,10,2022,23,P,532,10,3,40000
7204,24,8,2023,68,P,961,13,6,20000
5009,14,8,2022,55,L,781,11,1,30000
4184,22,3,2024,49,P,194,6,2,50000
7633,12,9,2022,68,L,831,6,3,30000
1502,5,7,2024,61,L,734,8,1,10000
5123,27,6,2022,60,P,851,6,9,50000
3614,8,12,2024,59,P,986,20,5,30000
9815,4,6,2023,78,P,879,17,7,50000
3643,28,5,2023,37,P,750,5,13,10000
6910,10,7,2022,72,L,456,12,13,20000
2729,20,10,2023,24,L,407,17,14,40000
3069,14,4,2022,33,P,152,1,5,20000
9553,8,10,2022,43,P,129,6,4,40000
2942,24,3,2022,74,L,470,3,13,50000
3454,3,2,2022,49,L,622,6,9,20000
9562,17,3,2023,72,P,922,19,14,10000
383,9,12,2023,37,P,573,4,14,30000
2498,27,10,2023,76,L,450,15,5,30000
349,26,2,2023,76,P,223,1,2,40000
6617,14,1,2024,24,P,571,5,9,20000
9392,27,6,2022,43,P,163,4,4,20000
3726,14,5,2023,33,P,602,20,8,50000
54,1,3,2024,54,L,640,18,14,20000
2387,4,7,2022,28,L,531,13,9,10000
186,27,5,2023,59,L,978,3,11,10000
4583,7,6,2022,79,L,239,3,1,30000
